tokenizer,lang,sentences,total_tokens,tok_per_word,tok_per_byte,tok_per_grapheme,tok_per_sentence
gpt2,eng,1012,27044,1.2348294598420164,0.2047298934108527,0.2049315732840277,26.723320158102766
gpt2,hin,1012,200467,7.817611043949616,0.5947287382851786,2.3321777167653592,198.0899209486166
gpt2,kan,1012,367405,22.820186335403726,0.9787548617401034,4.065518805811599,363.048418972332
gpt2,mal,1012,409995,27.46115204286671,0.9957304500513657,5.161844689530141,405.1333992094862
gpt2,tam,1012,420177,25.04780923994039,0.9965278518929611,4.213398981188079,415.19466403162056
gpt2,tel,1012,350763,20.70864328728303,0.9917636480846876,4.581125027753471,346.60375494071144
muril,eng,1012,27581,1.259348888178622,0.20879511870155038,0.20900080323719747,27.25395256916996
muril,hin,1012,31981,1.2471629684514292,0.09487855746381348,0.37205812208429795,31.60177865612648
muril,kan,1012,29405,1.8263975155279504,0.07833395492567531,0.3253809297230306,29.056324110671937
muril,mal,1012,32663,2.187742799732083,0.07932668371572278,0.41122777861711235,32.27569169960474
muril,tam,1012,29208,1.7411624441132638,0.06927220075846514,0.29288837190646183,28.861660079051383
muril,tel,1012,33183,1.959086078639745,0.09382316018050418,0.4333851398121906,32.7895256916996
nllb-200-distilled-600M,eng,1012,30641,1.3990685356833021,0.23196008963178294,0.23218859403179606,30.277667984189723
nllb-200-distilled-600M,hin,1012,37138,1.4482704831727957,0.11017791398302444,0.4320532359202857,36.69762845849802
nllb-200-distilled-600M,kan,1012,41757,2.5936024844720498,0.1112392775321008,0.46206194465038564,41.26185770750988
nllb-200-distilled-600M,mal,1012,45707,3.0614199598124583,0.11100587002401925,0.5754519816689329,45.16501976284585
nllb-200-distilled-600M,tam,1012,43398,2.587064083457526,0.10292642318939572,0.4351810998355461,42.883399209486164
nllb-200-distilled-600M,tel,1012,40647,2.399752036840241,0.11492722152478539,0.5308683897762744,40.16501976284585
